"one" "two" "three" "four" "five" "six" "seven" "eight" "nine" "ten" "eleven" "twelve" "thirteen" "fourteen" "fifteen" "sixteen" "seventeen" "eighteen" "nineteen" "twenty" "twentyone" "twentytwo" "twentythree" "twentyfour" "twentyfive" "twentysix" "twentyseven" "twentyeight" "twentynine" "thirty" "walking" "walkingupstairs" "walkingdownstairs" "sitting" "standing" "laying"
"tbodyaccmagmean" -0.452171091351965 -0.534179981340864 -0.563140802770059 -0.56158213510694 -0.460866415568709 -0.464770006998123 -0.511312036747403 -0.468522592843416 -0.505183470509188 -0.502500207000204 -0.542825032813608 -0.559586545675313 -0.539871637249541 -0.453262620331889 -0.527285352000488 -0.616131116889044 -0.568367244093859 -0.658370952115385 -0.531507362111361 -0.517257429345412 -0.620309259553676 -0.504099198287601 -0.532754757205108 -0.620032665162467 -0.583377749713936 -0.600932264175765 -0.627947737417819 -0.610030902501309 -0.553585593347965 -0.538131194183003 "-0.5475006" "-0.5496156" "-0.5474977" "-0.5429973" "-0.5515726" "-0.5497239"
"tgravityaccmagmean" -0.452171091351965 -0.534179981340864 -0.563140802770059 -0.56158213510694 -0.460866415568709 -0.464770006998123 -0.511312036747403 -0.468522592843416 -0.505183470509188 -0.502500207000204 -0.542825032813608 -0.559586545675313 -0.539871637249541 -0.453262620331889 -0.527285352000488 -0.616131116889044 -0.568367244093859 -0.658370952115385 -0.531507362111361 -0.517257429345412 -0.620309259553676 -0.504099198287601 -0.532754757205108 -0.620032665162467 -0.583377749713936 -0.600932264175765 -0.627947737417819 -0.610030902501309 -0.553585593347965 -0.538131194183003 "-0.5474977" "-0.5515726" "-0.5496156" "-0.5475006" "-0.5497239" "-0.5429973"
"tbodyaccjerkmagmean" -0.544137177823988 -0.586641269008306 -0.650182434328446 -0.656116311856877 -0.589313870006622 -0.551413652396923 -0.622815767680292 -0.534248616612028 -0.621608245092361 -0.57776193128833 -0.679819504547468 -0.6300504918575 -0.625466938809174 -0.608973420309907 -0.654799694757531 -0.725246870486339 -0.696465197235054 -0.753904676895604 -0.5762252472125 -0.619698756735028 -0.703461275879657 -0.609772829890966 -0.58640067170914 -0.713667423769029 -0.783445354474328 -0.694917859209184 -0.70180744799867 -0.689429387759162 -0.664538060484884 -0.697050126998956 "-0.6503313" "-0.6490471" "-0.6495677" "-0.6500395" "-0.6480896" "-0.6490696"
"tbodygyromagmean" -0.473978328304624 -0.614170480557243 -0.643150121648094 -0.656291093847319 -0.602770284825828 -0.549494852037046 -0.581899897967532 -0.476214943826192 -0.550201866572569 -0.521819802352381 -0.628367851066456 -0.63166805889875 -0.581215403184709 -0.416459776709257 -0.617721779796037 -0.718168775628415 -0.676185123284103 -0.714735668626374 -0.548919668132222 -0.516861235888701 -0.693779224517157 -0.637666108456075 -0.544207964433387 -0.682447212750656 -0.625733064258924 -0.694597662936224 -0.694016019806117 -0.648538641430367 -0.602228993700349 -0.510032754098198 "-0.6070980" "-0.6027292" "-0.6031927" "-0.6068506" "-0.6063028" "-0.6049967"
"tbodygyrojerkmagmean" -0.638492200309249 -0.745966066112957 -0.784056656246334 -0.819191368044164 -0.707383517582782 -0.621936158532308 -0.713191348337662 -0.673625525658363 -0.7629795809375 -0.734465805340136 -0.826829028481013 -0.77729447821875 -0.712745036012232 -0.700520939854799 -0.805282669512195 -0.860446372459016 -0.810438232853261 -0.859899942335165 -0.683436541824444 -0.684048497355932 -0.807817403137255 -0.794681311214953 -0.623412641977151 -0.791646550787402 -0.849630706259169 -0.798325916709184 -0.823067662473404 -0.78929494326178 -0.802293906366279 -0.785870931331593 "-0.7617239" "-0.7618049" "-0.7606556" "-0.7620739" "-0.7630595" "-0.7632785"
"fbodyaccmagmean" -0.477079430473699 -0.513651666736545 -0.579076453758064 -0.602098037677603 -0.528503022745033 -0.473974924380431 -0.518323878824675 -0.512106792856939 -0.553186448295139 -0.518734046961905 -0.611528074359177 -0.55928367746625 -0.589928108599083 -0.490874179820433 -0.562948391223628 -0.666962508246721 -0.646189154826902 -0.697732862178571 -0.556404444967972 -0.560278889421186 -0.658664719514706 -0.574333164853583 -0.529029284118011 -0.650121872273806 -0.69501971 -0.6317569828625 -0.667185803946808 -0.628763247405236 -0.589294014734302 -0.600372067046214 "-0.5788790" "-0.5863810" "-0.5883782" "-0.5859077" "-0.5876280" "-0.5882736"
"fbodybodyaccjerkmagmean" -0.497646141680809 -0.508466317532226 -0.604752108072727 -0.63501900541041 -0.573176177044172 -0.494882316238462 -0.553360009658182 -0.529244911130605 -0.609193721940625 -0.515140810846939 -0.656133473274684 -0.564239194378438 -0.607295296423853 -0.596896308848452 -0.614817605125915 -0.713167613706148 -0.697575558993207 -0.742323821887363 -0.576064647812278 -0.584571446817062 -0.679742584809363 -0.585442501515888 -0.542663319457527 -0.696845583388451 -0.779190075892421 -0.679278323637755 -0.688572791044947 -0.675428720467801 -0.609879937469099 -0.656339723754047 "-0.6206887" "-0.6209029" "-0.6213388" "-0.6196490" "-0.6211126" "-0.6206711"
"fbodybodygyromagmean" -0.533716261436994 -0.699507506501661 -0.716822144279179 -0.745650754608833 -0.677355755703311 -0.579130051151385 -0.628877272791136 -0.609984289180071 -0.700863097986111 -0.661496552826531 -0.757585939588608 -0.717311676745625 -0.652225306544343 -0.543030528985449 -0.732394493841463 -0.81712881920765 -0.769498551467391 -0.816286626730769 -0.636287999799167 -0.606970915061638 -0.776473060171569 -0.728166770031153 -0.534657191683602 -0.754131617480315 -0.754236109755501 -0.770504884821429 -0.785953610106383 -0.73790809206911 -0.722018434984302 -0.669600510563003 "-0.6992461" "-0.6976587" "-0.6995578" "-0.6976766" "-0.6971120" "-0.6930104"
"fbodybodygyrojerkmagmean" -0.64497059811763 -0.751154778122924 -0.810085498651026 -0.838833209652997 -0.748829309536424 -0.651886909221538 -0.668879188156396 -0.70215621546726 -0.786473954201389 -0.767780095068027 -0.864827011392405 -0.78990285099375 -0.712054366504281 -0.717590101802972 -0.83680189402439 -0.87277228273224 -0.829124468315217 -0.88466302260989 -0.719519008752778 -0.692638075749774 -0.826275026053922 -0.830191956697819 -0.584111049810215 -0.795019165380577 -0.875970674743276 -0.823865297193878 -0.837585999827128 -0.806882151753927 -0.840464164156977 -0.811292332428198 "-0.7816363" "-0.7787313" "-0.7800261" "-0.7819477" "-0.7767219" "-0.7793563"
"tbodyaccmagstd" -0.495785838171387 -0.55230630453289 -0.591224780306452 -0.606556049548896 -0.52162345171192 -0.483790606354154 -0.510669879158539 -0.554038979266192 -0.553038255314792 -0.545348810631551 -0.612882270912658 -0.5743864944925 -0.597230982062691 -0.474058613408978 -0.557147874176037 -0.661719690491803 -0.636074477703533 -0.689671890376374 -0.599552767486306 -0.572325820319209 -0.6601960145 -0.595953853592586 -0.56557562579215 -0.650862147810236 -0.659015505611247 -0.620355788665816 -0.677874152031915 -0.635821226515969 -0.579067216088081 -0.588158111633681 "-0.5953946" "-0.5829995" "-0.5921055" "-0.5929051" "-0.5929816" "-0.5906947"
